path,kind,category,planned_action,reason,needed_for_reproducibility,safe_to_ignore_for_final_review
outputs/sanitised_adapters/sensaware_top32_gamma_0.25,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/sensaware_top32_gamma_0.50,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/sensaware_top336_gamma_0.50,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/top1_gamma_0.0,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/top1_gamma_0.25,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/top1_gamma_0.50,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/top3_gamma_0.0,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/top3_gamma_0.25,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Non-final adapter variant preserved in archive.,false,true
outputs/sanitised_adapters/top3_gamma_0.50,directory,KEEP_REPRODUCIBILITY_DATA,keep,Focused final condition/baseline adapter folder.,true,false
outputs/sanitised_adapters/uniform_gamma_0.25,directory,KEEP_REPRODUCIBILITY_DATA,keep,Focused final condition/baseline adapter folder.,true,false
outputs/sanitised_adapters/uniform_gamma_0.50,directory,KEEP_REPRODUCIBILITY_DATA,keep,Focused final condition/baseline adapter folder.,true,false
logs/adapter_inspection_20260517T143951Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/backdoorllm_official_asset_inspection_20260519T210331Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/backdoorllm_official_asset_inspection_20260519T210839Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/backdoorllm_official_asset_inspection_20260520T122700Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/backdoorllm_trigger_source_search_20260519T204914Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/backdoorllm_trigger_source_search_20260519T205255Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/base_control_preflight_check_20260523T164258Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/base_model_control_eval_20260523T170204Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/base_model_control_eval_children_20260523T170204Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/bounded_eval_children_20260519T203137Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/bounded_eval_from_prompt_files_20260519T203137Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_adapter_candidate_inspection_20260517T154855Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_behaviour_similarity_analysis_20260523T182958Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_reference_search_20260517T151217Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_sensitivity_probe_20260520T162149Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_sensitivity_probe_20260520T164955Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_sensitivity_probe_expanded_20260521T140843Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_utility_and_tradeoff_eval_20260520T152445Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_utility_eval_children_20260520T152445Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_utility_perplexity_children_20260524T150011Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_utility_perplexity_children_20260524T151304Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_utility_perplexity_eval_20260524T150011Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_utility_perplexity_eval_20260524T151304Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/clean_vs_backdoor_spectral_comparison_20260517T160214Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/env_check_20260517T131640Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/env_check_20260517T132409Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/env_check_verbose_20260517T135810Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/env_check_verbose_20260517T141803Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/env_check_verbose_20260517T142024Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/env_check_verbose_20260517T142304Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/eval_case_diagnostics_20260523T111940Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/expanded_sensaware_adapter_smoke_check_20260521T142658Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/expanded_sensaware_official_bounded_eval_20260521T142706Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/expanded_sensaware_official_bounded_eval_children_20260521T142706Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/final_submission_consistency_check_20260523T150806Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/final_submission_consistency_check_20260523T150930Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/final_submission_consistency_check_20260523T151233Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/final_submission_consistency_check_20260523T153016Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/final_submission_consistency_check_20260523T153200Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/final_submission_consistency_check_20260530T094435Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/final_submission_consistency_check_20260530T094459Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/final_submission_runner_quick_20260523T153016Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/final_submission_runner_quick_20260523T153200Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/flagalpha_clean_adapter_inspection_20260517T152925Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/gpu_memory_diagnosis_20260517T192845Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/gpu_memory_diagnosis_20260519T165210Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/hf_cache_adapter_check_20260517T141439Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/hf_cache_adapter_check_20260517T141541Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/hf_cache_adapter_check_20260517T142343Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/hf_cache_adapter_check_20260519T193141Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_asr_clean_utility_discovery_20260524T113047Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_asr_clean_utility_discovery_20260524T113332Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_asr_clean_utility_discovery_20260524T121057Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_asr_clean_utility_discovery_20260524T121318Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_asr_scorer_audit_20260524T122607Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_asr_scorer_audit_20260524T123020Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_badnets_asr_pilot_20260520T132046Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_badnets_asr_pilot_children_20260520T131535Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_badnets_asr_pilot_children_20260520T132046Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_badnets_full_bounded_eval_20260520T140042Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_badnets_full_bounded_eval_children_20260520T140042Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_badnets_prompt_extraction_20260520T131505Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_rule_based_asr_clean_tradeoff_20260525T142217Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/official_rule_based_asr_eval_20260525T120958Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/official_rule_based_asr_eval_children_20260525T120958Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_rule_based_asr_rescore_existing_20260525T120801Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/official_rule_based_asr_sanity_checks_20260526T161737Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/official_rule_based_asr_sanity_checks_20260530T073520Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/official_rule_based_asr_verification_20260525T114142Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/official_rule_based_asr_verification_20260525T114645Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/official_rule_based_asr_verification_20260525T114859Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_latest_final_log_to_logs_final_logs_or_archive_old,Final-family log; latest instance retained in logs/final_logs.,true,false
logs/peft_loading_smoke_test_20260517T191954Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/peft_loading_smoke_test_20260517T192009Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/peft_loading_smoke_test_20260517T192025Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/peft_loading_smoke_test_20260519T165423Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/peft_loading_smoke_test_20260519T165754Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/README.md,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/real_asr_clean_utility_tradeoff_20260524T150116Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/real_asr_clean_utility_tradeoff_20260524T151630Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/real_eval_prompt_file_creation_20260524T145930Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/real_eval_prompt_file_creation_20260524T151304Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/report_ready_plots_20260523T122722Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/report_ready_results_20260523T122722Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/sanitised_adapter_generation_20260517T163541Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/sanitised_adapter_smoke_check_20260517T190339Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/sensaware_adapter_smoke_check_20260520T170607Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/sensaware_failure_analysis_20260521T140822Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/sensaware_official_bounded_eval_20260520T170614Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/sensaware_official_bounded_eval_children_20260520T170614Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/sensitivity_aware_adapter_generation_20260520T162258Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/sensitivity_aware_adapter_generation_20260520T165056Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/sensitivity_aware_expanded_adapter_generation_20260521T141058Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/small_baseline_children_20260519T195636Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/small_baseline_evaluation_20260519T195636Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/spectral_stats_20260517T145251Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tiny_inference_children_20260519T193244Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tiny_inference_children_20260519T193742Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tiny_inference_children_20260519T193953Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tiny_inference_children_20260519T194531Z,directory,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tiny_inference_smoke_test_20260519T170722Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tiny_inference_smoke_test_20260519T193244Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tiny_inference_smoke_test_20260519T193742Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tiny_inference_smoke_test_20260519T193953Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tiny_inference_smoke_test_20260519T194531Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tradeoff_analysis_20260523T111939Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/tradeoff_plots_20260523T111939Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/uniform_scaling_adapter_generation_20260520T140024Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
logs/wilson_ci_and_final_comparison_20260523T183002Z.json,file,MOVE_TO_ARCHIVE_LOGS,move_to_archive,"Intermediate, child-process, pilot, smoke, diagnostic, or old log.",false,true
reports/figures/asr_utility_tradeoff_scatter.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
reports/figures/clean_utility_bar_by_method.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
reports/figures/clean_vs_backdoor_entropy_by_layer.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
reports/figures/clean_vs_backdoor_singular_curve_mean.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
reports/figures/clean_vs_backdoor_top1_by_layer.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
reports/figures/clean_vs_backdoor_top3_by_layer.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
reports/figures/report_ready/official_rule_based_asr_clean_tradeoff.png,file,KEEP_FINAL_RESULTS,keep,Final report-ready figure referenced by final docs/artifacts.,true,false
reports/figures/report_ready/real_asr_clean_utility_tradeoff.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
reports/figures/report_ready/report_clean_utility_key_methods.png,file,KEEP_FINAL_RESULTS,keep,Final report-ready figure referenced by final docs/artifacts.,true,false
reports/figures/report_ready/report_tradeoff_scatter_key_methods.png,file,KEEP_FINAL_RESULTS,keep,Final report-ready figure referenced by final docs/artifacts.,true,false
reports/figures/report_ready/report_trigger_rate_key_methods.png,file,KEEP_FINAL_RESULTS,keep,Final report-ready figure referenced by final docs/artifacts.,true,false
reports/figures/report_ready/report_trigger_reduction_key_methods.png,file,KEEP_FINAL_RESULTS,keep,Final report-ready figure referenced by final docs/artifacts.,true,false
reports/figures/singular_value_spectra_by_module.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
reports/figures/trigger_rate_bar_by_method.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
reports/figures/trigger_reduction_vs_clean_delta.png,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Exploratory or superseded figure.,false,true
data/eval_prompts/clean_utility_medium.jsonl,file,KEEP_REPRODUCIBILITY_DATA,keep,Final prompt/reference/provenance data.,true,false
data/eval_prompts/clean_utility_reference_eval.jsonl,file,KEEP_REPRODUCIBILITY_DATA,keep,Final prompt/reference/provenance data.,true,false
data/eval_prompts/clean_utility_small.jsonl,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Small/intermediate prompt file not needed in final minimal structure.,false,true
data/eval_prompts/official_badnets_jailbreak_full.jsonl,file,KEEP_REPRODUCIBILITY_DATA,keep,Final prompt/reference/provenance data.,true,false
data/eval_prompts/official_badnets_jailbreak_small.jsonl,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Small/intermediate prompt file not needed in final minimal structure.,false,true
data/eval_prompts/README.md,file,KEEP_REPRODUCIBILITY_DATA,keep,Final prompt/reference/provenance data.,true,false
data/eval_prompts/real_asr_official_badnets.jsonl,file,KEEP_REPRODUCIBILITY_DATA,keep,Final prompt/reference/provenance data.,true,false
src/lora_sanitise/__init__.py,file,KEEP_REPRODUCIBILITY_DATA,keep,Source module imported by final pipeline scripts.,true,false
src/lora_sanitise/attenuation.py,file,KEEP_REPRODUCIBILITY_DATA,keep,Source module imported by final pipeline scripts.,true,false
src/lora_sanitise/lora_io.py,file,KEEP_REPRODUCIBILITY_DATA,keep,Source module imported by final pipeline scripts.,true,false
src/lora_sanitise/svd_tools.py,file,KEEP_REPRODUCIBILITY_DATA,keep,Source module imported by final pipeline scripts.,true,false
